qualifyId,raceId,forename,name,number,position,q1,q2,q3
90,22,Heikki,McLaren,23,2,1:26.736,1:26.290,1:27.808
91,22,Lewis,McLaren,22,3,1:26.192,1:26.477,1:27.923
92,22,Kimi,Ferrari,1,4,1:26.457,1:26.050,1:27.936
93,22,Robert,BMW Sauber,4,5,1:26.761,1:26.129,1:28.390
94,22,Mark,Red Bull,10,6,1:26.773,1:26.466,1:28.417
95,22,Fernando,Renault,5,7,1:26.836,1:26.522,1:28.422
96,22,Jarno,Toyota,11,8,1:26.695,1:26.822,1:28.836
97,22,Nick,BMW Sauber,3,9,1:27.107,1:27.607,1:28.882
98,22,David,Red Bull,9,10,1:26.939,1:26.520,1:29.959
99,22,Nico,Williams,7,11,1:27.367,1:27.012,\N
100,22,Rubens,Honda,17,12,1:27.355,1:27.219,\N
101,22,Jenson,Honda,16,13,1:27.428,1:27.298,\N
102,22,Sebastian,Toro Rosso,15,14,1:27.442,1:27.412,\N
103,22,Timo,Toyota,12,15,1:26.614,1:27.806,\N
104,22,Kazuki,Williams,8,16,1:27.547,\N,\N
105,22,Nelson,Renault,6,17,1:27.568,\N,\N
106,22,Sébastien,Toro Rosso,14,18,1:27.621,\N,\N
107,22,Giancarlo,Force India,21,19,1:27.807,\N,\N
108,22,Adrian,Force India,20,20,1:28.325,\N,\N
109,23,Felipe,Ferrari,2,1,1:15.190,1:15.110,1:15.787
110,23,Kimi,Ferrari,1,2,1:15.717,1:15.404,1:15.815
111,23,Lewis,McLaren,22,3,1:15.582,1:15.322,1:15.839
112,23,Heikki,McLaren,23,4,1:15.295,1:15.389,1:16.165
113,23,Robert,BMW Sauber,4,5,1:15.977,1:15.483,1:16.171
114,23,Nico,Williams,7,6,1:15.935,1:15.287,1:16.548
115,23,Fernando,Renault,5,7,1:16.646,1:15.827,1:16.852
116,23,Jarno,Toyota,11,8,1:16.306,1:15.598,1:17.203
117,23,Mark,Red Bull,10,9,1:16.074,1:15.745,1:17.343
118,23,David,Red Bull,9,10,1:16.086,1:15.839,\N
119,23,Timo,Toyota,12,11,1:16.285,1:15.907,\N
120,23,Jenson,Honda,16,12,1:16.259,1:16.101,\N
121,23,Nick,BMW Sauber,3,13,1:16.650,1:16.455,\N
122,23,Kazuki,Williams,8,14,1:16.756,1:16.479,\N
123,23,Rubens,Honda,17,15,1:16.208,1:16.537,\N
124,23,Sébastien,Toro Rosso,14,16,1:16.806,\N,\N
125,23,Nelson,Renault,6,17,1:16.933,\N,\N
126,23,Sebastian,Toro Rosso,15,18,1:16.955,\N,\N
127,23,Adrian,Force India,20,19,1:17.225,\N,\N
128,23,Giancarlo,Force India,21,20,1:17.823,\N,\N
129,24,Lewis,McLaren,22,1,1:16.909,1:17.034,1:17.886
130,24,Robert,BMW Sauber,4,2,1:17.471,1:17.679,1:18.498
131,24,Kimi,Ferrari,1,3,1:17.301,1:17.364,1:18.735
132,24,Fernando,Renault,5,4,1:17.415,1:17.488,1:18.746
133,24,Nico,Williams,7,5,1:17.991,1:17.891,1:18.844
134,24,Felipe,Ferrari,2,6,1:17.231,1:17.353,1:19.048
135,24,Heikki,McLaren,23,7,1:17.287,1:17.684,1:19.089
136,24,Nick,BMW Sauber,3,8,1:18.082,1:17.781,1:19.633
137,24,Rubens,Honda,17,9,1:18.256,1:18.020,1:20.848
138,24,Mark,Red Bull,10,10,1:17.582,1:17.523,\N
139,24,Timo,Toyota,12,11,1:18.321,1:18.031,\N
140,24,Kazuki,Williams,8,12,1:17.638,1:18.062,\N
141,24,David,Red Bull,9,13,1:18.168,1:18.238,\N
142,24,Jarno,Toyota,11,14,1:18.039,1:18.327,\N
143,24,Nelson,Renault,6,15,1:18.505,1:18.393,\N
144,24,Sébastien,Toro Rosso,14,16,1:18.916,\N,\N
145,24,Adrian,Force India,20,17,1:19.108,\N,\N
146,24,Giancarlo,Force India,21,18,1:19.165,\N,\N
147,24,Jenson,Honda,16,19,1:23.565,\N,\N
148,24,Sebastian,Toro Rosso,15,20,\N,\N,\N
149,25,Kimi,Ferrari,1,1,1:15.133,1:15.161,1:16.449
150,25,Felipe,Ferrari,2,2,1:15.024,1:15.041,1:16.490
151,25,Lewis,McLaren,22,3,1:15.634,1:15.293,1:16.693
152,25,Fernando,Renault,5,4,1:15.754,1:15.483,1:16.840
153,25,Jarno,Toyota,11,5,1:15.521,1:15.362,1:16.920
154,25,Heikki,McLaren,23,6,1:15.965,1:15.639,1:16.944
155,25,Robert,BMW Sauber,4,7,1:15.687,1:15.723,1:17.037
156,25,Mark,Red Bull,10,8,1:16.020,1:15.488,1:17.233
157,25,David,Red Bull,9,9,1:15.802,1:15.654,1:17.426
158,25,Timo,Toyota,12,10,1:15.727,1:15.558,1:17.596
159,25,Nelson,Renault,6,11,1:15.848,1:15.770,\N
160,25,Nick,BMW Sauber,3,12,1:16.006,1:15.786,\N
161,25,Sebastian,Toro Rosso,15,13,1:15.918,1:15.816,\N
162,25,Sébastien,Toro Rosso,14,14,1:16.072,1:16.045,\N
163,25,Nico,Williams,7,15,1:16.085,1:16.235,\N
164,25,Kazuki,Williams,8,16,1:16.243,\N,\N
165,25,Jenson,Honda,16,17,1:16.306,\N,\N
166,25,Rubens,Honda,17,18,1:16.330,\N,\N
167,25,Giancarlo,Force India,21,19,1:16.971,\N,\N
168,25,Adrian,Force India,20,20,1:17.053,\N,\N
169,26,Heikki,McLaren,23,1,1:19.957,1:19.597,1:21.049
170,26,Mark,Red Bull,10,2,1:20.982,1:19.710,1:21.554
171,26,Kimi,Ferrari,1,3,1:20.370,1:19.971,1:21.706
172,26,Lewis,McLaren,22,4,1:20.288,1:19.537,1:21.835
173,26,Nick,BMW Sauber,3,5,1:21.022,1:19.802,1:21.873
174,26,Fernando,Renault,5,6,1:20.998,1:19.992,1:22.029
175,26,Nelson,Renault,6,7,1:20.818,1:20.115,1:22.491
176,26,Sebastian,Toro Rosso,15,8,1:20.318,1:20.109,1:23.251
177,26,Felipe,Ferrari,2,9,1:20.676,1:20.086,1:23.305
178,26,Robert,BMW Sauber,4,10,1:20.444,1:19.788,\N
179,26,David,Red Bull,9,11,1:21.224,1:20.174,\N
180,26,Timo,Toyota,12,12,1:20.893,1:20.274,\N
181,26,Sébastien,Toro Rosso,14,13,1:20.584,1:20.531,\N
182,26,Jarno,Toyota,11,14,1:21.145,1:20.601,\N
183,26,Kazuki,Williams,8,15,1:21.407,1:21.112,\N
184,26,Rubens,Honda,17,16,1:21.512,\N,\N
185,26,Jenson,Honda,16,17,1:21.631,\N,\N
186,26,Nico,Williams,7,18,1:21.668,\N,\N
187,26,Adrian,Force India,20,19,1:21.786,\N,\N
188,26,Giancarlo,Force India,21,20,1:21.885,\N,\N
189,27,Lewis,McLaren,22,1,1:15.218,1:14.603,1:15.666
190,27,Felipe,Ferrari,2,2,1:14.921,1:14.747,1:15.859
191,27,Heikki,McLaren,23,3,1:15.476,1:14.855,1:16.143
192,27,Jarno,Toyota,11,4,1:15.560,1:15.122,1:16.191
193,27,Fernando,Renault,5,5,1:15.917,1:14.943,1:16.385
194,27,Kimi,Ferrari,1,6,1:15.201,1:14.949,1:16.389
195,27,Robert,BMW Sauber,4,7,1:15.985,1:15.109,1:16.521
196,27,Mark,Red Bull,10,8,1:15.900,1:15.481,1:17.014
197,27,Sebastian,Toro Rosso,15,9,1:15.532,1:15.420,1:17.244
198,27,David,Red Bull,9,10,1:15.975,1:15.338,1:17.503
199,27,Timo,Toyota,12,11,1:15.560,1:15.508,\N
200,27,Nick,BMW Sauber,3,12,1:15.596,1:15.581,\N
201,27,Nico,Williams,7,13,1:15.863,1:15.633,\N
202,27,Jenson,Honda,16,14,1:15.993,1:15.701,\N
203,27,Sébastien,Toro Rosso,14,15,1:15.927,1:15.858,\N
204,27,Kazuki,Williams,8,16,1:16.083,\N,\N
205,27,Nelson,Renault,6,17,1:16.189,\N,\N
206,27,Rubens,Honda,17,18,1:16.246,\N,\N
207,27,Adrian,Force India,20,19,1:16.657,\N,\N
208,27,Giancarlo,Force India,21,20,1:16.963,\N,\N
209,28,Lewis,McLaren,22,1,1:19.376,1:19.473,1:20.899
210,28,Heikki,McLaren,23,2,1:19.945,1:19.480,1:21.140
211,28,Felipe,Ferrari,2,3,1:19.578,1:19.068,1:21.191
212,28,Robert,BMW Sauber,4,4,1:20.053,1:19.776,1:21.281
213,28,Timo,Toyota,12,5,1:19.980,1:19.246,1:21.326
214,28,Kimi,Ferrari,1,6,1:20.006,1:19.546,1:21.516
215,28,Fernando,Renault,5,7,1:20.229,1:19.816,1:21.698
216,28,Mark,Red Bull,10,8,1:20.073,1:20.046,1:21.732
217,28,Jarno,Toyota,11,9,1:19.942,1:19.486,1:21.767
218,28,Nelson,Renault,6,10,1:20.583,1:20.131,1:22.371
219,28,Sebastian,Toro Rosso,15,11,1:20.157,1:20.144,\N
220,28,Jenson,Honda,16,12,1:20.888,1:20.332,\N
221,28,David,Red Bull,9,13,1:20.505,1:20.502,\N
222,28,Sébastien,Toro Rosso,14,14,1:20.640,1:20.963,\N
223,28,Nico,Williams,7,15,1:20.748,\N,\N
224,28,Nick,BMW Sauber,3,16,1:21.045,\N,\N
225,28,Kazuki,Williams,8,17,1:21.085,\N,\N
226,28,Rubens,Honda,17,18,1:21.332,\N,\N
227,28,Giancarlo,Force India,21,19,1:21.670,\N,\N
228,28,Adrian,Force India,20,20,1:22.113,\N,\N
229,29,Felipe,Ferrari,2,1,1:38.176,1:37.859,1:38.989
230,29,Lewis,McLaren,22,2,1:38.464,1:37.954,1:39.199
231,29,Robert,BMW Sauber,4,3,1:38.347,1:38.050,1:39.392
232,29,Kimi,Ferrari,1,4,1:38.703,1:38.229,1:39.488
233,29,Heikki,McLaren,23,5,1:38.656,1:38.120,1:39.937
234,29,Sebastian,Toro Rosso,15,6,1:38.141,1:37.842,1:40.142
235,29,Jarno,Toyota,11,7,1:37.948,1:37.928,1:40.309
236,29,Nick,BMW Sauber,3,8,1:38.738,1:37.859,1:40.631
237,29,Nico,Williams,7,9,1:38.595,1:38.336,1:40.721
238,29,Sébastien,Toro Rosso,14,10,1:38.622,1:38.417,1:40.750
239,29,Kazuki,Williams,8,11,1:38.667,1:38.428,\N
240,29,Fernando,Renault,5,12,1:38.268,1:38.435,\N
241,29,Timo,Toyota,12,13,1:38.532,1:38.499,\N
242,29,Mark,Red Bull,10,14,1:38.559,1:38.515,\N
243,29,Nelson,Renault,6,15,1:38.787,1:38.744,\N
244,29,Jenson,Honda,16,16,1:38.880,\N,\N
245,29,David,Red Bull,9,17,1:39.235,\N,\N
246,29,Giancarlo,Force India,21,18,1:39.268,\N,\N
247,29,Rubens,Honda,17,19,1:39.811,\N,\N
248,29,Adrian,Force India,20,20,1:39.943,\N,\N
249,30,Lewis,McLaren,22,1,1:46.887,1:46.088,1:47.338
250,30,Felipe,Ferrari,2,2,1:46.873,1:46.391,1:47.678
251,30,Heikki,McLaren,23,3,1:46.812,1:46.037,1:47.815
252,30,Kimi,Ferrari,1,4,1:46.960,1:46.298,1:47.992
253,30,Nick,BMW Sauber,3,5,1:47.419,1:46.311,1:48.315
254,30,Fernando,Renault,5,6,1:47.154,1:46.491,1:48.504
255,30,Mark,Red Bull,10,7,1:47.270,1:46.814,1:48.736
256,30,Robert,BMW Sauber,4,8,1:47.093,1:46.494,1:48.763
257,30,Sébastien,Toro Rosso,14,9,1:46.777,1:46.544,1:48.951
258,30,Sebastian,Toro Rosso,15,10,1:47.152,1:46.804,1:50.319
259,30,Jarno,Toyota,11,11,1:47.400,1:46.949,\N
260,30,Nelson,Renault,6,12,1:47.052,1:46.965,\N
261,30,Timo,Toyota,12,13,1:47.359,1:46.995,\N
262,30,David,Red Bull,9,14,1:47.132,1:47.018,\N
263,30,Nico,Williams,7,15,1:47.503,1:47.429,\N
264,30,Rubens,Honda,17,16,1:48.153,\N,\N
265,30,Jenson,Honda,16,17,1:48.211,\N,\N
266,30,Adrian,Force India,20,18,1:48.226,\N,\N
267,30,Kazuki,Williams,8,19,1:48.268,\N,\N
268,30,Giancarlo,Force India,21,20,1:48.447,\N,\N
269,31,Sebastian,Toro Rosso,15,1,1:35.464,1:35.837,1:37.555
270,31,Heikki,McLaren,23,2,1:35.214,1:35.843,1:37.631
271,31,Mark,Red Bull,10,3,1:36.001,1:36.306,1:38.117
272,31,Sébastien,Toro Rosso,14,4,1:35.543,1:36.175,1:38.445
273,31,Nico,Williams,7,5,1:35.485,1:35.898,1:38.767
274,31,Felipe,Ferrari,2,6,1:35.536,1:36.676,1:38.894
275,31,Jarno,Toyota,11,7,1:35.906,1:36.008,1:39.152
276,31,Fernando,Renault,5,8,1:36.297,1:36.518,1:39.751
277,31,Timo,Toyota,12,9,1:35.737,1:36.525,1:39.787
278,31,Nick,BMW Sauber,3,10,1:35.709,1:36.626,1:39.906
279,31,Robert,BMW Sauber,4,11,1:35.553,1:36.697,\N
280,31,Giancarlo,Force India,21,12,1:36.280,1:36.698,\N
281,31,David,Red Bull,9,13,1:36.485,1:37.284,\N
282,31,Kimi,Ferrari,1,14,1:35.965,1:37.522,\N
283,31,Lewis,McLaren,22,15,1:35.394,1:39.265,\N
284,31,Rubens,Honda,17,16,1:36.510,\N,\N
285,31,Nelson,Renault,6,17,1:36.630,\N,\N
286,31,Kazuki,Williams,8,18,1:36.653,\N,\N
287,31,Jenson,Honda,16,19,1:37.006,\N,\N
288,31,Adrian,Force India,20,20,1:37.417,\N,\N
289,32,Felipe,Ferrari,2,1,1:44.519,1:44.014,1:44.801
290,32,Lewis,McLaren,22,2,1:44.501,1:44.932,1:45.465
291,32,Kimi,Ferrari,1,3,1:44.282,1:44.232,1:45.617
292,32,Robert,BMW Sauber,4,4,1:44.740,1:44.519,1:45.779
293,32,Heikki,McLaren,23,5,1:44.311,1:44.207,1:45.873
294,32,Nick,BMW Sauber,3,6,1:45.548,1:44.520,1:45.964
295,32,Sebastian,Toro Rosso,15,7,1:45.042,1:44.261,1:46.244
296,32,Timo,Toyota,12,8,1:45.184,1:44.441,1:46.328
297,32,Nico,Williams,7,9,1:45.103,1:44.429,1:46.611
298,32,Kazuki,Williams,8,10,1:45.127,1:44.826,1:47.547
299,32,Jarno,Toyota,11,11,1:45.642,1:45.038,\N
300,32,Jenson,Honda,16,12,1:45.660,1:45.133,\N
301,32,Mark,Red Bull,10,13,1:45.493,1:45.212,\N
302,32,David,Red Bull,9,14,1:46.028,1:45.298,\N
303,32,Fernando,Renault,5,15,1:44.971,\N,\N
304,32,Nelson,Renault,6,16,1:46.037,\N,\N
305,32,Sébastien,Toro Rosso,14,17,1:46.389,\N,\N
306,32,Rubens,Honda,17,18,1:46.583,\N,\N
307,32,Adrian,Force India,20,19,1:47.940,\N,\N
308,32,Giancarlo,Force India,21,20,\N,\N,\N
309,33,Lewis,McLaren,22,1,1:18.071,1:17.462,1:18.404
310,33,Kimi,Ferrari,1,2,1:18.160,1:17.733,1:18.644
311,33,Heikki,McLaren,23,3,1:18.220,1:17.360,1:18.821
312,33,Fernando,Renault,5,4,1:18.290,1:17.871,1:18.852
313,33,Felipe,Ferrari,2,5,1:18.110,1:17.287,1:18.874
314,33,Robert,BMW Sauber,4,6,1:18.684,1:17.931,1:18.979
315,33,Jarno,Toyota,11,7,1:18.501,1:17.541,1:19.026
316,33,Timo,Toyota,12,8,1:17.945,1:17.670,1:19.118
317,33,Sebastian,Toro Rosso,15,9,1:18.559,1:17.714,1:19.638
318,33,Sébastien,Toro Rosso,14,10,1:18.593,1:18.102,1:20.167
319,33,David,Red Bull,9,11,1:18.303,1:18.187,\N
320,33,Nelson,Renault,6,12,1:18.300,1:18.274,\N
321,33,Mark,Red Bull,10,13,1:18.372,1:18.354,\N
322,33,Kazuki,Williams,8,14,1:18.640,1:18.594,\N
323,33,Nico,Williams,7,15,1:18.740,1:18.672,\N
324,33,Nick,BMW Sauber,3,16,1:18.835,\N,\N
325,33,Rubens,Honda,17,17,1:18.882,\N,\N
326,33,Jenson,Honda,16,18,1:19.100,\N,\N
327,33,Adrian,Force India,20,19,1:19.163,\N,\N
328,33,Giancarlo,Force India,21,20,1:19.910,\N,\N
329,34,Lewis,McLaren,22,1,1:35.566,1:34.947,1:36.303
330,34,Kimi,Ferrari,1,2,1:35.983,1:35.355,1:36.645
331,34,Felipe,Ferrari,2,3,1:35.971,1:35.135,1:36.889
332,34,Fernando,Renault,5,4,1:35.769,1:35.461,1:36.927
333,34,Heikki,McLaren,23,5,1:35.623,1:35.216,1:36.930
334,34,Mark,Red Bull,10,6,1:36.238,1:35.686,1:37.083
335,34,Nick,BMW Sauber,3,7,1:36.224,1:35.403,1:37.201
336,34,Sebastian,Toro Rosso,15,8,1:35.752,1:35.386,1:37.685
337,34,Jarno,Toyota,11,9,1:36.104,1:35.715,1:37.934
338,34,Sébastien,Toro Rosso,14,10,1:36.239,1:35.478,1:38.885
339,34,Nelson,Renault,6,11,1:36.029,1:35.722,\N
340,34,Robert,BMW Sauber,4,12,1:36.503,1:35.814,\N
341,34,Timo,Toyota,12,13,1:36.210,1:35.937,\N
342,34,Rubens,Honda,17,14,1:36.640,1:36.079,\N
343,34,Nico,Williams,7,15,1:36.434,1:36.210,\N
344,34,David,Red Bull,9,16,1:36.731,\N,\N
345,34,Kazuki,Williams,8,17,1:36.863,\N,\N
346,34,Jenson,Honda,16,18,1:37.053,\N,\N
347,34,Adrian,Force India,20,19,1:37.730,\N,\N
348,34,Giancarlo,Force India,21,20,1:37.739,\N,\N
349,35,Felipe,Ferrari,2,1,1:11.830,1:11.875,1:12.368
350,35,Jarno,Toyota,11,2,1:12.226,1:12.107,1:12.737
351,35,Kimi,Ferrari,1,3,1:12.083,1:11.950,1:12.825
352,35,Lewis,McLaren,22,4,1:12.213,1:11.856,1:12.830
353,35,Heikki,McLaren,23,5,1:12.366,1:11.768,1:12.917
354,35,Fernando,Renault,5,6,1:12.214,1:12.090,1:12.967
355,35,Sebastian,Toro Rosso,15,7,1:12.390,1:11.845,1:13.082
356,35,Nick,BMW Sauber,3,8,1:12.371,1:12.026,1:13.297
357,35,Sébastien,Toro Rosso,14,9,1:12.498,1:12.075,1:14.105
358,35,Timo,Toyota,12,10,1:12.223,1:11.909,1:14.230
359,35,Nelson,Renault,6,11,1:12.348,1:12.137,\N
360,35,Mark,Red Bull,10,12,1:12.409,1:12.289,\N
361,35,Robert,BMW Sauber,4,13,1:12.381,1:12.300,\N
362,35,David,Red Bull,9,14,1:12.690,1:12.717,\N
363,35,Rubens,Honda,17,15,1:12.548,1:13.139,\N
364,35,Kazuki,Williams,8,16,1:12.800,\N,\N
365,35,Jenson,Honda,16,17,1:12.810,\N,\N
366,35,Nico,Williams,7,18,1:13.002,\N,\N
367,35,Giancarlo,Force India,21,19,1:13.426,\N,\N
368,35,Adrian,Force India,20,20,1:13.508,\N,\N
369,36,Kimi,Ferrari,6,1,1:26.644,1:25.644,1:26.072
370,36,Fernando,McLaren,1,2,1:26.697,1:25.326,1:26.493
371,36,Nick,BMW Sauber,9,3,1:26.895,1:25.358,1:26.556
372,36,Lewis,McLaren,2,4,1:26.674,1:25.577,1:26.755
373,36,Robert,BMW Sauber,10,5,1:26.696,1:25.882,1:27.347
374,36,Giancarlo,Renault,3,6,1:27.270,1:25.944,1:27.634
375,36,Mark,Red Bull,15,7,1:26.978,1:26.623,1:27.934
376,36,Jarno,Toyota,12,8,1:27.014,1:26.688,1:28.404
377,36,Ralf,Toyota,11,9,1:27.328,1:26.739,1:28.692
378,36,Takuma,Super Aguri,22,10,1:27.365,1:26.758,1:28.871
379,36,Anthony,Super Aguri,23,11,1:26.986,1:26.909,\N
380,36,Nico,Williams,16,12,1:27.596,1:26.914,\N
381,36,Heikki,Renault,4,13,1:27.529,1:26.964,\N
382,36,Jenson,Honda,7,14,1:27.540,1:27.264,\N
383,36,Alexander,Williams,17,15,1:27.479,1:27.393,\N
384,36,Felipe,Ferrari,5,16,1:26.712,\N,\N
385,36,Rubens,Honda,8,17,1:27.679,\N,\N
386,36,Scott,Toro Rosso,19,18,1:28.305,\N,\N
387,36,David,Red Bull,14,19,1:28.579,\N,\N
388,36,Vitantonio,Toro Rosso,18,20,1:29.267,\N,\N
389,36,Adrian,Spyker,20,21,1:29.339,\N,\N
390,36,Christijan,Spyker,21,22,1:31.932,\N,\N
391,37,Felipe,Ferrari,5,1,1:35.340,1:34.454,1:35.043
392,37,Fernando,McLaren,1,2,1:34.942,1:34.057,1:35.310
393,37,Kimi,Ferrari,6,3,1:35.138,1:34.687,1:35.479
394,37,Lewis,McLaren,2,4,1:35.028,1:34.650,1:36.045
395,37,Nick,BMW Sauber,9,5,1:35.617,1:35.203,1:36.543
396,37,Nico,Williams,16,6,1:35.755,1:35.380,1:36.829
397,37,Robert,BMW Sauber,10,7,1:35.294,1:34.739,1:36.839
398,37,Jarno,Toyota,12,8,1:35.666,1:35.255,1:36.902
399,37,Ralf,Toyota,11,9,1:35.736,1:35.595,1:37.078
400,37,Mark,Red Bull,15,10,1:35.727,1:35.579,1:37.345
401,37,Heikki,Renault,4,11,1:36.092,1:35.630,\N
402,37,Giancarlo,Renault,3,12,1:35.879,1:35.706,\N
403,37,David,Red Bull,14,13,1:35.730,1:35.766,\N
404,37,Takuma,Super Aguri,22,14,1:36.430,1:35.945,\N
405,37,Jenson,Honda,7,15,1:35.913,1:36.088,\N
406,37,Vitantonio,Toro Rosso,18,16,1:36.140,1:36.145,\N
407,37,Scott,Toro Rosso,19,17,1:36.578,\N,\N
408,37,Anthony,Super Aguri,23,18,1:36.816,\N,\N
409,37,Rubens,Honda,8,19,1:36.827,\N,\N
410,37,Alexander,Williams,17,20,1:37.326,\N,\N
411,37,Christijan,Spyker,21,21,1:38.279,\N,\N
